No,Longitude,Lattitude,N,P,K,Ca,Mg,Fe,Mn,Cu,Zn,B,b12,b11,b9,b8a,b8,b7,b6,b5,b4,b3,b2,b1,Sigma_VV,Sigma_VH,plia,lia,iafe,gamma0_vv,gamma0_vh,beta0_vv,beta0_vh
11,103.044488,-0.60212,2.59,0.16,0.343,0.15,0.59,162.89,904.92,1.21,12.98,21.48,0.0858,0.1741,0.4973,0.364,0.3186,0.3338,0.0921,0.2633,0.0482,0.0627,0.0448,0.0452,0.29596,0.04644,35.34408,35.34417,35.47017,0.36373,0.05708,0.50913,0.07989
12,103.044876,-0.602145,2.63,0.14,0.514,0.07,0.55,90.04,468.79,1.42,11.9,18.11,0.0835,0.1734,0.4973,0.3683,0.3228,0.3391,0.0947,0.2744,0.0446,0.0634,0.0398,0.0452,0.22684,0.04399,36.71357,36.72618,35.47261,0.27879,0.05407,0.3902,0.07567
13,103.045452,-0.601471,2.83,0.18,0.486,0.46,0.71,64.47,889.58,1.11,22.04,22.08,0.0871,0.1783,0.5143,0.365,0.3298,0.329,0.0984,0.2739,0.0495,0.0646,0.0416,0.0438,0.22638,0.04595,33.8341,33.8651,35.47816,0.27824,0.05648,0.38935,0.07903
14,103.046068,-0.601701,2.59,0.17,0.4,0.82,0.78,78.44,536.67,4.35,21.43,16.6,0.0908,0.1796,0.5261,0.3614,0.31,0.3272,0.097,0.2705,0.0509,0.0652,0.0405,0.0449,0.21475,0.06406,33.67011,33.67203,35.48127,0.26395,0.07874,0.36932,0.11018
15,103.043881,-0.601043,2.41,0.13,0.293,0.55,0.76,73.9,404.66,2.2,17.26,8.09,0.0906,0.1814,0.4667,0.3448,0.3154,0.3194,0.0846,0.2445,0.0446,0.0612,0.0368,0.0398,0.19444,0.02876,39.39237,39.39572,35.46714,0.23896,0.03535,0.33452,0.04949
16,103.043356,-0.600991,2.26,0.11,0.36,0.69,0.91,73.1,925.14,1.89,16.31,21.22,0.0911,0.181,0.4786,0.3458,0.3206,0.3155,0.0923,0.2535,0.0436,0.0609,0.0384,0.0394,0.19218,0.03808,34.18182,34.18934,35.46386,0.23617,0.0468,0.33066,0.06552
17,103.043922,-0.599883,2.42,0.12,0.344,0.48,0.63,85.76,596.56,2.08,13.6,16.91,0.0818,0.1713,0.487,0.3592,0.3176,0.3277,0.0959,0.2734,0.0423,0.0639,0.0386,0.0411,0.25482,0.05117,35.45364,35.46807,35.46892,0.31316,0.06288,0.43837,0.08802
18,103.043175,-0.5998,1.96,0.12,0.312,0.47,0.84,73.14,211.5,1.98,15.31,12.02,0.0803,0.1689,0.4734,0.3827,0.3328,0.3483,0.1019,0.2892,0.04,0.0642,0.039,0.0361,0.16718,0.03832,31.84449,31.85273,35.46408,0.20545,0.04709,0.28764,0.06592
19,103.043743,-0.599015,2.26,0.12,0.301,0.21,0.85,74.19,470.65,2.4,7.95,6.77,0.0884,0.1745,0.4756,0.3279,0.2784,0.3,0.0903,0.2453,0.0435,0.0583,0.0391,0.0364,0.15444,0.0428,38.66685,38.73926,35.46909,0.18981,0.0526,0.26569,0.07362
20,103.043036,-0.599012,2.31,0.12,0.325,0.23,0.86,67.63,469.04,1.09,21.05,12.19,0.0859,0.1726,0.4766,0.3441,0.3098,0.3087,0.0917,0.254,0.0435,0.0627,0.0404,0.0363,0.17735,0.03841,34.76497,34.76498,35.46464,0.21795,0.0472,0.30513,0.06608
21,103.044075,-0.59714,2.39,0.13,0.517,0.35,0.32,89.87,409.79,0.09,11.49,11.35,0.0729,0.1553,0.462,0.3673,0.321,0.3441,0.0861,0.2703,0.0393,0.0566,0.0347,0.0362,0.20163,0.04451,35.45636,35.45646,35.47417,0.24781,0.05471,0.34682,0.07656
22,103.043518,-0.597138,2.22,0.13,0.331,0.54,0.75,60.81,416.42,0.09,13.0,20.22,0.0736,0.1556,0.4791,0.3509,0.31,0.3288,0.0884,0.2619,0.0398,0.0539,0.0308,0.0365,0.18069,0.03613,34.0279,34.08574,35.47052,0.22206,0.0444,0.31083,0.06215
23,103.043705,-0.595763,2.27,0.15,0.179,0.49,0.94,68.09,484.44,1.02,12.53,8.77,0.0774,0.1559,0.4507,0.3123,0.2588,0.2837,0.0794,0.2263,0.0377,0.0521,0.0317,0.0326,0.17678,0.0353,34.27871,34.3597,35.47393,0.21727,0.04338,0.30408,0.06072
24,103.043085,-0.595872,2.84,0.16,0.45,0.56,0.65,101.67,654.41,0.66,10.23,7.51,0.0845,0.1662,0.4554,0.3187,0.2854,0.2843,0.0895,0.2415,0.0442,0.0585,0.0369,0.0336,0.18766,0.03976,34.05529,34.06127,35.46929,0.23063,0.04887,0.32284,0.0684
25,103.04282,-0.594408,2.52,0.13,0.307,0.45,0.68,92.01,500.26,2.46,23.67,11.11,0.079,0.158,0.4339,0.3112,0.2756,0.2881,0.0893,0.2393,0.0424,0.0591,0.0351,0.03,0.21961,0.04714,35.3215,35.3215,35.46955,0.26989,0.05793,0.37779,0.08109
26,103.042313,-0.594374,2.81,0.14,0.46,0.54,0.62,83.1,104.15,2.58,16.02,6.97,0.0753,0.1541,0.4339,0.3136,0.285,0.2904,0.0905,0.2401,0.0405,0.0583,0.0367,0.03,0.18302,0.03842,34.78577,34.78577,35.46657,0.22491,0.04721,0.31486,0.06609
27,103.044429,-0.590607,2.47,0.15,0.504,0.39,0.7,75.75,647.82,2.24,12.75,21.03,0.0766,0.1532,0.5653,0.3531,0.3144,0.3256,0.1004,0.2664,0.0516,0.0739,0.0501,0.0447,0.20389,0.04505,36.73503,36.75734,35.487,0.25063,0.05537,0.35061,0.07746
28,103.043991,-0.590556,2.36,0.14,0.403,0.22,0.6,79.39,537.11,1.23,12.56,6.32,0.0771,0.1552,0.5653,0.3652,0.3198,0.3349,0.1024,0.2722,0.0521,0.0728,0.0492,0.0447,0.20958,0.04382,35.65377,35.65458,35.48382,0.25761,0.05386,0.36041,0.07535
29,103.047085,-0.595288,2.75,0.17,0.397,0.24,0.55,65.19,304.14,0.33,21.69,6.28,0.1064,0.1928,0.5217,0.3351,0.3232,0.3095,0.0997,0.2479,0.0498,0.0671,0.0425,0.0415,0.16065,0.04358,36.26837,36.32248,35.4988,0.19751,0.05357,0.27617,0.07491
30,103.046486,-0.595306,2.95,0.16,0.582,0.48,0.55,58.57,637.99,2.72,13.72,15.74,0.0884,0.173,0.497,0.3403,0.3218,0.3211,0.0975,0.2583,0.0469,0.0637,0.043,0.0394,0.20029,0.03026,37.30676,37.30848,35.49403,0.24623,0.0372,0.34435,0.05203
31,103.047526,-0.59558,2.69,0.2,0.364,0.22,0.79,115.31,830.22,0.09,13.73,10.63,0.0992,0.1881,0.5792,0.3499,0.3274,0.3279,0.1084,0.2665,0.05,0.0697,0.0453,0.0465,0.19508,0.04001,34.73067,34.78096,35.5012,0.23984,0.04919,0.33534,0.06878
32,103.047738,-0.595971,2.51,0.12,0.303,0.38,0.81,95.72,625.29,2.65,16.43,19.57,0.0947,0.1839,0.5778,0.3718,0.3244,0.3388,0.1117,0.2775,0.0597,0.0704,0.0496,0.0533,0.18986,0.0391,37.00134,37.00139,35.50186,0.23342,0.04808,0.32635,0.06721
33,103.047568,-0.596387,2.12,0.13,0.187,0.29,0.77,66.2,276.83,1.42,17.84,15.15,0.0979,0.1853,0.5715,0.353,0.306,0.3186,0.1053,0.2664,0.0554,0.072,0.0418,0.0515,0.22434,0.03005,36.14361,36.17945,35.49995,0.27581,0.03694,0.38565,0.05165
34,103.047016,-0.596434,2.46,0.16,0.38,0.42,0.69,58.94,436.46,1.36,17.46,6.84,0.0952,0.1787,0.5378,0.3482,0.3112,0.3242,0.103,0.2612,0.0524,0.0669,0.0444,0.0464,0.18105,0.03609,35.34274,35.34856,35.49622,0.22258,0.04437,0.31125,0.06204
35,103.045045,-0.596262,2.55,0.14,0.551,0.55,0.7,64.5,725.52,7.61,34.26,18.25,0.0742,0.1538,0.4533,0.3437,0.3074,0.3179,0.0803,0.2483,0.0396,0.0548,0.0337,0.037,0.16442,0.0403,35.94559,36.19693,35.48253,0.2021,0.04954,0.28277,0.06931
36,103.045124,-0.596537,2.35,0.13,0.448,0.35,0.53,77.68,727.18,1.4,11.54,26.04,0.0792,0.1597,0.4718,0.3328,0.291,0.3092,0.0856,0.2434,0.0464,0.0656,0.0367,0.0369,0.17265,0.04094,37.06753,37.13949,35.4826,0.21221,0.05032,0.29691,0.07041
37,103.044767,-0.598948,2.09,0.11,0.362,0.19,0.59,89.17,441.51,1.3,16.73,24.1,0.0815,0.1647,0.4659,0.3153,0.3096,0.2752,0.0847,0.2349,0.0422,0.0583,0.0372,0.0362,0.20863,0.0456,40.20878,40.21442,35.47685,0.25643,0.05605,0.35884,0.07844
38,103.045163,-0.598974,2.12,0.13,0.355,0.16,0.58,72.34,447.54,0.09,10.3,20.89,0.0765,0.1613,0.4796,0.3544,0.3262,0.324,0.0889,0.2642,0.0426,0.0622,0.0364,0.0362,0.17168,0.04339,36.04108,36.04586,35.4796,0.21102,0.05333,0.29527,0.07462
39,103.044739,-0.599441,2.07,0.12,0.298,0.18,0.64,81.55,217.33,0.43,11.94,17.69,0.0827,0.1683,0.4746,0.3324,0.315,0.3085,0.0853,0.2433,0.0428,0.0606,0.037,0.0383,0.22167,0.03714,37.2118,37.21188,35.47601,0.27245,0.04565,0.38128,0.06389
40,103.045171,-0.599541,2.22,0.15,0.43,0.32,0.45,63.77,360.89,0.64,16.61,16.47,0.0828,0.1706,0.4915,0.3517,0.3242,0.3246,0.0916,0.2611,0.0436,0.0664,0.0397,0.0383,0.18861,0.03262,37.67817,37.70145,35.47848,0.23183,0.0401,0.3244,0.05611
41,103.052947959,-0.258061029,2.42,0.13,0.525,0.52,0.53,63.78,472.54,2.65,28.7,15.21,0.0651,0.1638,0.3832,0.3659,0.3411,0.3381,0.0672,0.263,0.0196,0.0451,0.0171,0.0171,0.29308,0.03974,35.05368,35.06149,36.04467,0.36276,0.04919,0.49732,0.06743
42,103.053051978,-0.257899007,2.13,0.12,0.435,0.15,0.71,55.32,514.65,3.42,23.0,16.48,0.0664,0.1648,0.3832,0.3709,0.3272,0.343,0.0713,0.2688,0.0181,0.0371,0.0151,0.0171,0.28118,0.04262,35.46488,35.49168,36.04544,0.34804,0.05276,0.47713,0.07233
43,103.053364037,-0.258338973,2.02,0.11,0.303,0.35,0.54,102.33,675.41,1.07,28.6,5.12,0.0694,0.1752,0.3654,0.378,0.3318,0.3384,0.0694,0.2687,0.02,0.0414,0.0141,0.0192,0.17394,0.0443,35.77473,35.79475,36.04682,0.2153,0.05484,0.29514,0.07517
44,103.053466966,-0.257954998,2.57,0.13,0.27,0.3,0.3,101.81,756.38,3.48,36.45,11.05,0.0675,0.1669,0.3654,0.3685,0.3388,0.3396,0.0718,0.2613,0.0205,0.0413,0.0167,0.016,0.18307,0.0481,35.05862,35.06796,36.04788,0.22661,0.05954,0.31063,0.08161
45,103.053678023,-0.25839597,2.22,0.12,0.308,0.59,0.24,65.54,412.59,1.18,31.27,6.76,0.089,0.1954,0.3849,0.4006,0.3413,0.3541,0.0978,0.2985,0.0219,0.0439,0.0169,0.02,0.17525,0.04806,35.96997,35.97165,36.04856,0.21693,0.05949,0.29735,0.08154
46,103.053873992,-0.258037979,2.49,0.13,0.269,0.52,0.32,79.59,538.09,0.09,57.55,5.17,0.0735,0.1762,0.3796,0.3868,0.3193,0.3517,0.0816,0.2824,0.0213,0.0384,0.0142,0.0162,0.15575,0.05123,36.0672,36.07629,36.05025,0.19279,0.06341,0.26425,0.08691
47,103.05390601,-0.258478029,2.12,0.12,0.231,0.48,0.45,55.0,288.62,0.98,34.53,7.65,0.0831,0.1926,0.3849,0.4021,0.3645,0.3614,0.0902,0.2991,0.0196,0.044,0.0158,0.02,0.21078,0.03691,35.70521,35.70586,36.05016,0.26092,0.04569,0.35762,0.06263
48,103.053920008,-0.258285999,2.4,0.14,0.249,0.62,0.58,53.58,459.11,2.3,39.56,9.98,0.0758,0.1821,0.3849,0.4105,0.3628,0.3775,0.0866,0.2996,0.0222,0.0488,0.0161,0.02,0.1879,0.04829,34.76797,34.778,36.05054,0.2326,0.05978,0.3188,0.08193
49,103.054239023,-0.258438969,2.49,0.13,0.274,0.62,0.44,75.48,438.14,3.15,44.14,4.87,0.0856,0.1943,0.3849,0.4105,0.3798,0.3932,0.0931,0.2962,0.0212,0.0432,0.0175,0.0212,0.20269,0.0462,34.74364,34.75322,36.05201,0.25091,0.05719,0.34388,0.07839
50,103.054394005,-0.25799104,2.52,0.13,0.283,1.08,0.26,64.36,658.51,2.13,24.87,5.76,0.0781,0.1842,0.3796,0.3831,0.3187,0.3515,0.0855,0.2771,0.0185,0.0373,0.0131,0.0175,0.18821,0.0584,33.86954,33.88079,36.05391,0.23299,0.07229,0.3193,0.09907
51,103.055786993,-0.258387001,2.02,0.13,0.278,1.13,0.45,61.98,649.96,3.23,32.88,11.11,0.0804,0.1871,0.4019,0.3643,0.3198,0.3379,0.0775,0.2828,0.0197,0.0406,0.0176,0.0189,0.1645,0.03831,36.06407,36.06407,36.06341,0.20367,0.04743,0.27902,0.06498
52,103.055695966,-0.258030016,2.15,0.13,0.224,0.54,0.28,64.2,409.81,2.29,47.85,10.75,0.0821,0.1896,0.3974,0.4144,0.3551,0.3694,0.0933,0.3058,0.0231,0.0454,0.0179,0.0193,0.16494,0.04215,36.29361,36.29646,36.06332,0.2042,0.05218,0.27975,0.07149
53,103.057960002,-0.258617001,2.25,0.13,0.332,0.64,0.36,77.83,339.83,3.29,35.08,15.3,0.0759,0.1846,0.3966,0.3887,0.3646,0.3597,0.0807,0.2882,0.0208,0.0457,0.0191,0.0195,0.19112,0.04808,35.34811,35.34908,36.07803,0.23667,0.05954,0.32405,0.08153
54,103.057914991,-0.258373003,2.55,0.14,0.27,0.47,0.33,87.2,739.23,3.78,32.86,8.45,0.0759,0.1846,0.3987,0.3887,0.3597,0.3597,0.0807,0.2882,0.0254,0.0485,0.021,0.0191,0.15294,0.03961,35.99934,36.00102,36.07781,0.18939,0.04905,0.25932,0.06716
55,103.068464035,-0.257823989,2.06,0.11,0.218,0.47,0.38,89.91,333.51,2.25,28.84,14.77,0.0727,0.1579,0.3232,0.2808,0.2794,0.2607,0.0747,0.2061,0.024,0.0376,0.0154,0.0188,0.2178,0.03363,34.98651,34.99831,36.15196,0.26995,0.04168,0.36862,0.05692
56,103.068494964,-0.257347981,2.49,0.14,0.34,0.437,0.31,102.56,609.69,2.49,40.12,6.81,0.0897,0.1973,0.359,0.3558,0.2761,0.329,0.093,0.2637,0.0277,0.041,0.0173,0.0173,0.23137,0.03872,32.89061,32.89267,36.15273,0.28678,0.048,0.39158,0.06554
57,103.068438973,-0.256888987,1.89,0.12,0.193,0.327,0.4,101.89,492.17,2.0,57.12,12.44,0.0793,0.1851,0.3649,0.3376,0.2901,0.3172,0.0857,0.262,0.0255,0.0414,0.0158,0.0173,0.22933,0.04985,34.05009,34.05369,36.15261,0.28425,0.06179,0.38814,0.08437
58,103.068301007,-0.256238971,2.63,0.15,0.288,0.57,0.39,105.68,820.59,0.9,25.43,21.67,0.0717,0.1681,0.3649,0.3432,0.3123,0.3197,0.0775,0.2565,0.0225,0.0404,0.0147,0.0173,0.20337,0.05129,36.19244,36.23615,36.15293,0.25207,0.06358,0.3442,0.08682
59,103.068625974,-0.25617904,2.42,0.14,0.335,0.554,0.4,104.67,571.22,2.0,26.19,11.41,0.0744,0.1813,0.3649,0.3851,0.3758,0.3577,0.0873,0.2914,0.0233,0.0478,0.0191,0.0173,0.24397,0.04043,33.99703,34.00368,36.15483,0.30241,0.05011,0.4129,0.06842
60,103.068743991,-0.256439969,2.29,0.11,0.282,0.421,0.27,83.63,611.99,1.71,37.7,5.94,0.0816,0.1821,0.3649,0.341,0.3167,0.3139,0.0855,0.255,0.0219,0.0422,0.015,0.0188,0.24696,0.04603,32.6177,32.62006,36.15565,0.30611,0.05706,0.41794,0.0779
61,103.068752037,-0.256809024,2.28,0.14,0.387,0.678,0.44,90.05,503.62,2.0,39.69,24.92,0.08,0.1886,0.3649,0.3784,0.3308,0.3374,0.0968,0.2802,0.0256,0.0477,0.0161,0.0188,0.27529,0.05554,31.23329,31.25394,36.15512,0.34122,0.06885,0.46589,0.094
62,103.068839042,-0.257504974,2.28,0.14,0.221,0.643,0.32,75.24,346.74,2.49,30.37,23.36,0.0924,0.2031,0.359,0.3225,0.26,0.2938,0.094,0.2377,0.0398,0.0485,0.0209,0.0188,0.2275,0.04925,33.26744,33.28647,36.1548,0.28199,0.06105,0.38502,0.08335
63,103.069114974,-0.257461974,2.2,0.11,0.227,0.503,0.5,74.97,345.39,1.73,20.79,7.67,0.1232,0.2457,0.359,0.3097,0.2557,0.2696,0.1036,0.2136,0.0454,0.0438,0.0192,0.0188,0.17906,0.05734,35.04208,35.11706,36.15664,0.22196,0.07108,0.30304,0.09704
64,103.069077004,-0.257008011,2.3,0.12,0.33,0.49,0.36,95.24,641.11,1.97,18.4,11.48,0.098,0.2078,0.3649,0.3349,0.2984,0.2929,0.0923,0.2357,0.0318,0.0469,0.0208,0.0188,0.20281,0.06295,34.90871,34.96686,36.15708,0.2514,0.07804,0.34322,0.10654
65,103.069031993,-0.256259004,2.34,0.12,0.25,0.72,0.43,64.82,414.36,1.93,28.15,6.67,0.0924,0.2022,0.3649,0.3557,0.2884,0.3012,0.0953,0.2483,0.0321,0.0466,0.0198,0.0188,0.21653,0.04421,34.50462,34.54758,36.15822,0.2684,0.0548,0.36642,0.07481
66,103.069252018,-0.256162025,2.11,0.11,0.193,0.68,0.3,74.46,685.51,2.58,34.09,14.01,0.0889,0.1966,0.373,0.3313,0.3294,0.2934,0.0917,0.2395,0.0221,0.0449,0.0177,0.0188,0.20418,0.04516,35.70131,35.70708,36.15899,0.25309,0.05598,0.34551,0.07643
67,103.06933701,-0.256725959,2.05,0.13,0.303,0.77,0.37,80.49,412.93,1.63,35.01,11.9,0.098,0.2078,0.373,0.3349,0.282,0.2929,0.0923,0.2357,0.0354,0.0458,0.0206,0.0188,0.19995,0.05563,33.96184,33.98869,36.15859,0.24785,0.06896,0.33836,0.09414
68,103.06942502,-0.257179001,2.2,0.12,0.226,0.64,0.36,95.93,468.57,1.29,37.63,16.16,0.0977,0.206,0.344,0.3279,0.2894,0.2863,0.0904,0.2359,0.0335,0.047,0.0196,0.0188,0.17404,0.05737,35.25623,35.34524,36.15873,0.21573,0.07111,0.29451,0.09708
69,103.070206968,-0.257354015,1.9,0.1,0.18,0.86,0.4,74.9,364.31,2.96,34.59,9.11,0.0933,0.2014,0.3554,0.3396,0.303,0.2949,0.0964,0.2425,0.0344,0.0492,0.0189,0.018,0.24003,0.05865,38.54924,38.56244,36.16421,0.29755,0.07271,0.40613,0.09924
70,103.070157012,-0.256730989,2.5,0.13,0.23,0.86,0.52,92.67,1016.34,2.44,18.16,16.28,0.0851,0.194,0.3785,0.3885,0.3107,0.358,0.0988,0.2946,0.0288,0.0445,0.0191,0.018,0.21597,0.02857,39.04338,39.05828,36.16504,0.26773,0.03542,0.36542,0.04835
71,103.071108023,-0.257099038,2.26,0.14,0.403,0.77,0.4,94.84,768.21,0.9,31.09,13.17,0.0863,0.19,0.3366,0.3414,0.2986,0.3097,0.0839,0.2544,0.029,0.0467,0.0196,0.0191,0.22337,0.03966,36.09249,36.12516,36.17115,0.27693,0.04918,0.37789,0.0671
72,103.071100982,-0.256785974,2.19,0.14,0.178,0.55,0.28,85.75,600.68,2.04,34.16,19.17,0.0921,0.1975,0.3789,0.3488,0.2946,0.3164,0.0877,0.2555,0.0262,0.043,0.0195,0.0191,0.24242,0.03634,35.46418,35.49126,36.17168,0.30055,0.04505,0.41011,0.06148
73,103.071525022,-0.256541977,2.03,0.11,0.198,0.57,0.28,117.32,587.71,1.11,25.62,16.83,0.0795,0.1741,0.3283,0.2925,0.3176,0.2747,0.0732,0.2214,0.0218,0.0465,0.0189,0.0214,0.25436,0.04302,33.97763,34.00446,36.17497,0.31536,0.05334,0.43027,0.07277
74,103.071417985,-0.256070998,2.29,0.13,0.28,0.66,0.44,114.0,542.67,0.45,46.17,22.11,0.0781,0.1814,0.3283,0.3632,0.2982,0.3257,0.0858,0.263,0.0256,0.0429,0.0204,0.0194,0.24442,0.0434,32.60471,32.60959,36.17542,0.30304,0.05381,0.41346,0.07341
75,103.071360989,-0.25562902,2.1,0.11,0.147,0.76,0.46,71.04,782.22,2.1,31.38,10.6,0.0753,0.1764,0.4005,0.354,0.3196,0.3248,0.0826,0.2657,0.0225,0.0439,0.0172,0.017,0.23665,0.04625,33.34164,33.36292,36.17492,0.2934,0.05734,0.40031,0.07823
76,103.071333999,-0.255186958,2.01,0.11,0.302,0.41,0.36,102.14,890.58,1.65,23.42,12.99,0.0724,0.1747,0.3897,0.3658,0.3395,0.3422,0.0799,0.2722,0.0191,0.0415,0.0163,0.0165,0.21496,0.03185,34.36504,34.36692,36.17548,0.26652,0.03949,0.36363,0.05388
77,103.070754977,-0.257905964,2.23,0.13,0.414,0.69,0.39,104.06,261.49,1.94,30.58,16.68,0.0743,0.1723,0.3756,0.3586,0.3284,0.3296,0.0845,0.2655,0.026,0.0493,0.0205,0.0178,0.18777,0.05644,37.83168,37.83233,36.16745,0.23278,0.06997,0.31769,0.09549
78,103.070849022,-0.258393036,2.22,0.14,0.295,0.9,0.31,126.67,590.98,1.72,46.12,21.43,0.075,0.1815,0.4122,0.4133,0.3361,0.3832,0.0845,0.3055,0.0261,0.0473,0.0176,0.0172,0.20876,0.03193,34.99454,35.0285,36.16738,0.25881,0.03959,0.35321,0.05403
79,103.071162002,-0.258268984,1.91,0.12,0.317,1.09,0.47,96.81,216.19,2.88,32.27,15.71,0.0823,0.1898,0.4102,0.3698,0.3253,0.3376,0.0845,0.2659,0.0262,0.0464,0.0203,0.018,0.1376,0.03462,34.19114,34.2095,36.16983,0.17059,0.04292,0.23279,0.05856
80,103.071070975,-0.257838992,2.03,0.12,0.358,0.59,0.47,67.69,336.88,2.12,14.41,11.95,0.0806,0.1839,0.3582,0.3476,0.2795,0.3209,0.0866,0.253,0.0307,0.0445,0.0195,0.0182,0.17774,0.04093,32.92646,32.94246,36.16998,0.22036,0.05074,0.3007,0.06924
81,102.916866,-0.66463,2.03,0.12,0.413,0.23,0.5,122.06,884.78,1.92,11.51,7.87,0.0961,0.157,0.8481,0.3358,0.2946,0.3168,0.1259,0.2619,0.0812,0.0911,0.0766,0.1055,0.19807,0.03299,37.0204,37.14333,34.46789,0.24047,0.04005,0.34933,0.05819
82,102.916627,-0.664572,2.51,0.15,0.443,0.26,0.61,100.65,553.37,1.17,12.69,11.85,0.0937,0.1541,0.8463,0.3429,0.3084,0.3244,0.1291,0.2629,0.0782,0.0919,0.0769,0.1046,0.20718,0.0365,38.15937,38.24852,34.46654,0.25152,0.04431,0.3654,0.06437
83,102.912913,-0.664741,2.45,0.14,0.649,0.36,0.59,58.09,605.5,4.5,17.68,16.0,0.0982,0.168,0.7401,0.3209,0.2758,0.2953,0.1247,0.246,0.0642,0.0709,0.0559,0.0844,0.17184,0.03525,34.85494,34.88922,34.43925,0.20855,0.04277,0.30328,0.06221
84,102.912247,-0.664628,2.39,0.16,0.54,0.65,0.47,78.25,731.4,1.33,19.15,22.45,0.0894,0.1626,0.612,0.2944,0.2478,0.2688,0.0965,0.2175,0.0526,0.061,0.0476,0.0622,0.15624,0.05041,36.46448,36.55988,34.43494,0.18961,0.06118,0.27578,0.08898
85,102.910737,-0.664721,2.51,0.17,0.292,0.63,0.73,105.57,785.36,2.87,24.16,18.0,0.0933,0.1742,0.4012,0.3067,0.2768,0.2786,0.1007,0.2379,0.0394,0.0567,0.03,0.0234,0.15018,0.03795,35.83424,35.86547,34.42355,0.18222,0.04604,0.26515,0.067
86,102.910074,-0.664395,2.87,0.19,0.741,0.12,0.39,559.1,203.13,3.21,16.46,26.3,0.0678,0.1364,0.3773,0.2877,0.2556,0.2629,0.0784,0.2064,0.0364,0.0448,0.0272,0.0247,0.2242,0.0428,34.27219,34.316,34.41877,0.27202,0.05193,0.3959,0.07558
87,102.909397,-0.664837,2.7,0.16,0.415,0.3,0.85,67.15,871.57,5.53,26.39,21.24,0.081,0.1591,0.3561,0.3141,0.274,0.2834,0.0795,0.2246,0.0344,0.0477,0.0285,0.0258,0.15603,0.03508,31.94087,31.95314,34.41429,0.1893,0.04256,0.27554,0.06195
